Field,Field Name,Module,Field Type,Field Size,Description,Parent,Child,Field Reference,Parent Value,Parent Inverse,Parent_Child_Rules,2010 Reference,2010 Field,2010 FieldName,2010 Module,2010 Description,Comment
1,PROPCODE,PB,Text,20,Client (or client vendor) designated property code (is used as a key linking field) Must be the same for all modules. Example: Apollo GDS Property Code 123456  ,,,,,,,,1,PROPCODE,PB,Client (or client vendor) designated property code (is used as a key linking field) Must be the same for all modules. Example: Apollo GDS Property Code 123456  ,NO CHANGE
2,INTERNALHOTELCODE,PB,Text,20,"The internal hotel reference code that is assigned by the chain or parent company for tracking the individual hotel.  It must be the same for all modules. It may be left blank. (Buyers, do not use this to link modules)",,,,,,,,2,INTERNALHOTELCODE,PB,"The internal hotel reference code that is assigned by the chain or parent company for tracking the individual hotel.  It must be the same for all modules. It may be left blank.  (Buyers, do not use this to link modules.)",NO CHANGE
3,PROPNAME,PB,Text,100,"Hotel Name  Example: ""Eaton Place Hotel"".  Please input in appropriate case.",,,,,,,,3,PROPNAME,PB,Hotel Name with Chain Name first (if applicable) Example:  Hotel Company Eaton Centre,AMENDED
4,PROPADD1,PB,Text,50,"Hotel Street Address, Line 1  Example: 100 Main Street. Please input in appropriate case.",,,,,,,,4,PROPADD1,PB,"Hotel Street Address, Line 1  Example: 100 Main Street ",AMENDED
5,PROPADD2,PB,Text,50,"Hotel Street Address, Line 2. Please input in appropriate case. (If not applicable, leave blank)",,,,,,,,5,PROPADD2,PB,"Hotel Street Address, Line 2.  (Leave blank if not applicable) ",AMENDED
6,PROPCITY,PB,Text,50,Hotel City Name  Example: Toronto. Please input in appropriate case.,,,,,,,,6,PROPCITY,PB,Hotel City Name    Example:  Toronto,AMENDED
7,PROPSTATEPROV,PB,Text,2,Two character U.S. state or Canadian province abbreviation (Applies only to U.S. & Canada addresses)  Example: NY,,Y,10,United States; Canada,NO,"If Field 10 = United States or Canada, enter the U.S. State or Canadian Province. For all other Countries, Field is null",,7,PROPSTATEPROV,PB,Two character U.S. state or Canadian province abbreviation (Applies only to U.S. & Canada addresses)  Example:  NY,NO CHANGE
8,PROPCOUNTY,PB,Text,50,Full county name  Example: Montgomery,,Y,10,United States,NO,"If Field 10 = United States, enter the County name. For all other Countries, Field is null",,11,PROPCOUNTY,PB,Full county name Example:  Montgomery,NO CHANGE
9,PROPREGION,PB,Text,100,Province or territory name if not U.S. or Canada address  Example: Australian Province name,,,,,,,,8,PROPREGION,PB,Province or territory name if not U.S. or Canada address (Use standard ISO 3166-2 name if known.)  Example:   Australian Province name,NO CHANGE
10,PROPCOUNTRY,PB,Text,25,Full country name  Example: Canada,Y ,,"P  7, 8",,,,,9,PROPCOUNTRY,PB,Full country name Example:  Canada,NO CHANGE
